,year,first-author,last-author,journal/conference,title,number-of-authors,paper-url,DBLP-url
6265,2012,Martin C. Cooper,Guillaume Escamocher,AAAI,A Dichotomy for 2-Constraint Forbidden CSP Patterns.,2,http://www.aaai.org/ocs/index.php/AAAI/AAAI12/paper/view/4960,https://dblp.org/rec/conf/aaai/CooperE12
6266,2012,William Dabney,Andrew G. Barto,AAAI,Adaptive Step-Size for Online Temporal Difference Learning.,2,http://www.aaai.org/ocs/index.php/AAAI/AAAI12/paper/view/5092,https://dblp.org/rec/conf/aaai/DabneyB12
6267,2012,Na Dai,Na Dai,AAAI,Building Contextual Anchor Text Representation using Graph Regularization.,1,http://www.aaai.org/ocs/index.php/AAAI/AAAI12/paper/view/5176,https://dblp.org/rec/conf/aaai/Dai12
6268,2012,Sajib Dasgupta,Vincent Ng,AAAI,Clustering Documents Along Multiple Dimensions.,3,http://www.aaai.org/ocs/index.php/AAAI/AAAI12/paper/view/5184,https://dblp.org/rec/conf/aaai/DasguptaGN12
6269,2012,Jessica Davies,Toby Walsh,AAAI,Eliminating the Weakest Link - Making Manipulation Intractable?,3,http://www.aaai.org/ocs/index.php/AAAI/AAAI12/paper/view/5051,https://dblp.org/rec/conf/aaai/DaviesNW12
6270,2012,Thomas L. Dean,Jonathon Shlens,AAAI,Three Controversial Hypotheses Concerning Computation in the Primate Cortex.,3,http://www.aaai.org/ocs/index.php/AAAI/AAAI12/paper/view/5093,https://dblp.org/rec/conf/aaai/DeanCS12
6271,2012,Rina Dechter,Radu Marinescu 0002,AAAI,Search Algorithms for m Best Solutions for Graphical Models.,3,http://www.aaai.org/ocs/index.php/AAAI/AAAI12/paper/view/5167,https://dblp.org/rec/conf/aaai/DechterFM12
6272,2012,Nate Derbinsky,John E. Laird,AAAI,A Multi-Domain Evaluation of Scaling in a General Episodic Memory.,3,http://www.aaai.org/ocs/index.php/AAAI/AAAI12/paper/view/4852,https://dblp.org/rec/conf/aaai/DerbinskyLL12
6273,2012,Lihi Naamani Dery,Lihi Naamani Dery,AAAI,Iterative Voting under Uncertainty for Group Recommender Systems (Research Abstract).,1,http://www.aaai.org/ocs/index.php/AAAI/AAAI12/paper/view/4792,https://dblp.org/rec/conf/aaai/Dery12
6274,2012,Debadeepta Dey,James Andrew Bagnell,AAAI,Efficient Optimization of Control Libraries.,4,http://www.aaai.org/ocs/index.php/AAAI/AAAI12/paper/view/5081,https://dblp.org/rec/conf/aaai/DeyLSB12
6275,2012,John P. Dickerson,Tuomas Sandholm,AAAI,Dynamic Matching via Weighted Myopia with Application to Kidney Exchange.,3,http://www.aaai.org/ocs/index.php/AAAI/AAAI12/paper/view/5031,https://dblp.org/rec/conf/aaai/DickersonPS12
6276,2012,Nemanja Djuric,Slobodan Vucetic,AAAI,Convex Kernelized Sorting.,3,http://www.aaai.org/ocs/index.php/AAAI/AAAI12/paper/view/5105,https://dblp.org/rec/conf/aaai/DjuricGV12
6277,2012,Pedro M. Domingos,William Austin Webb,AAAI,A Tractable First-Order Probabilistic Logic.,2,http://www.aaai.org/ocs/index.php/AAAI/AAAI12/paper/view/5028,https://dblp.org/rec/conf/aaai/DomingosW12
6278,2012,Lachlan Thomas Dufton,Nicholas R. Jennings,AAAI,Optimizing Payments in Dominant-Strategy Mechanisms for Multi-Parameter Domains.,4,http://www.aaai.org/ocs/index.php/AAAI/AAAI12/paper/view/5104,https://dblp.org/rec/conf/aaai/DuftonNPJ12
6279,2012,Eric Eaton,Rachael Mansbach,AAAI,A Spin-Glass Model for Semi-Supervised Community Detection.,2,http://www.aaai.org/ocs/index.php/AAAI/AAAI12/paper/view/5160,https://dblp.org/rec/conf/aaai/EatonM12
6280,2012,Joshua Eckroth,Joshua Eckroth,AAAI,Abductive Metareasoning for Truth-Seeking Agents.,1,http://www.aaai.org/ocs/index.php/AAAI/AAAI12/paper/view/4866,https://dblp.org/rec/conf/aaai/Eckroth12
6281,2012,Thomas Eiter,Guohui Xiao 0001,AAAI,Query Rewriting for Horn-SHIQ Plus Rules.,5,http://www.aaai.org/ocs/index.php/AAAI/AAAI12/paper/view/4931,https://dblp.org/rec/conf/aaai/EiterOSTX12
6282,2012,Mohamed Elkawkagy,Susanne Biundo,AAAI,Improving Hierarchical Planning Performance by the Use of Landmarks.,4,http://www.aaai.org/ocs/index.php/AAAI/AAAI12/paper/view/5070,https://dblp.org/rec/conf/aaai/ElkawkagyBSB12
