,year,first-author,last-author,journal/conference,title,number-of-authors,paper-url,DBLP-url
620,2015,Nikolaj Bjørner,Nina Narodytska,IJCAI,Maximum Satisfiability Using Cores and Correction Sets.,2,http://ijcai.org/Abstract/15/041,https://dblp.org/rec/conf/ijcai/BjornerN15
621,2015,Kenneth D. Bogert,Prashant Doshi,IJCAI,Toward Estimating Others' Transition Models Under Occlusion for Multi-Robot IRL.,2,http://ijcai.org/Abstract/15/265,https://dblp.org/rec/conf/ijcai/BogertD15
622,2015,Thomas Bolander,François Schwarzentruber,IJCAI,Complexity Results in Epistemic Planning.,3,http://ijcai.org/Abstract/15/395,https://dblp.org/rec/conf/ijcai/BolanderJS15
623,2015,Danushka Bollegala,Ken-ichi Kawarabayashi,IJCAI,Embedding Semantic Relations into Word Representations.,3,http://ijcai.org/Abstract/15/176,https://dblp.org/rec/conf/ijcai/BollegalaMK15
624,2015,Blai Bonet,Hector Geffner,IJCAI,Policies that Generalize - Solving Many Planning Problems with the Same Policy.,2,http://ijcai.org/Abstract/15/396,https://dblp.org/rec/conf/ijcai/BonetG15
625,2015,Richard Booth 0001,Ivan José Varzinczak,IJCAI,On the Entailment Problem for a Logic of Typicality.,4,http://ijcai.org/Abstract/15/397,https://dblp.org/rec/conf/ijcai/BoothCMV15
626,2015,Stefan Borgwardt,Rafael Peñaloza,IJCAI,The Complexity of Subsumption in Fuzzy EL.,3,http://ijcai.org/Abstract/15/398,https://dblp.org/rec/conf/ijcai/BorgwardtCP15
627,2015,Stefan Borgwardt,Veronika Thost,IJCAI,Temporal Query Answering in the Description Logic EL.,2,http://ijcai.org/Abstract/15/399,https://dblp.org/rec/conf/ijcai/BorgwardtT15
628,2015,Martí Bosch,Nabil Layaïda,IJCAI,Reasoning with Style.,3,http://ijcai.org/Abstract/15/315,https://dblp.org/rec/conf/ijcai/BoschGL15
629,2015,Cristina Bosco,Andrea Bolioli,IJCAI,Developing Corpora for Sentiment Analysis - The Case of Irony and Senti-TUT (Extended Abstract).,3,http://ijcai.org/Abstract/15/587,https://dblp.org/rec/conf/ijcai/BoscoPB15
