,first-author,first-author-affiliation,First Author Gender,last-author,last-author-affiliation,Last Author Affiliation,title
982,Ahmed Alaa,UCLA,Male,Mihaela van der Schaar,University of Cambridge and UCLA,Female,Discriminative Jackknife: Quantifying Uncertainty in Deep Learning via Higher-Order Influence Functions
983,Anton Zhiyanov,"Yandex Research, MSU im. Lomonosova",Male,Alexey Drutsa,Yandex,Male,Bisection-Based Pricing for Repeated Contextual Auctions against Strategic Buyer
984,Jakub Swiatkowski,University of Warsaw,Male,Sebastian Nowozin,Microsoft Research,Male,The k-tied Normal Distribution: A Compact Parameterization of Gaussian Mean Field Posteriors in Bayesian Neural Networks
985,Celestine Mendler-Dünner,"University of California, Berkeley",Female,Aurelien Lucchi,ETH Zurich,Male,Randomized Block-Diagonal Preconditioning for Parallel Learning
986,Maria Vladarean,EPFL,Female,Volkan Cevher,EPFL,Male,Conditional gradient methods for stochastically constrained convex minimization
987,Martin Wistuba,IBM Research,Male,Tejaswini Pedapati,IBM Research,Female,Learning to Rank Learning Curves
988,Edith Cohen,Google Research and Tel Aviv University,Female,Rasmus Pagh,IT University of Copenhagen,Male,Composable Sketches for Functions of Frequencies: Beyond the Worst Case
989,Pouya M Ghari,"University of California, Irvine",Male,Yanning Shen,"University of California, Irvine",Male,Online Multi-Kernel Learning with Graph-Structured Feedback
990,Rui Shu,Stanford University,Male,Hung Bui,VinAI Research,Male,Predictive Coding for Locally-Linear Control
991,Aditya Kusupati,University of Washington,Male,Ali Farhadi,"University of Washington, Allen Institue for AI",Male,Soft Threshold Weight Reparameterization for Learnable Sparsity
992,Aviv Rosenberg,Tel Aviv University,Male,Haim Kaplan,"TAU, GOOGLE",Male,Near-optimal Regret Bounds for Stochastic Shortest Path
993,Olivier Henaff,DeepMind,Male,Olivier Henaff,DeepMind,Male,Data-Efficient Image Recognition with Contrastive Predictive Coding
994,Francesco Croce,University of Tuebingen,Male,Matthias Hein,University of Tübingen,Male,Minimally distorted Adversarial Examples with a Fast Adaptive Boundary Attack
995,Ahmet Alacaoglu,EPFL,Male,Volkan Cevher,EPFL,Male,Random extrapolation for primal-dual coordinate descent
996,Jean-Bastien Grill,DeepMind,Male,Remi Munos,DeepMind,Male,Monte-Carlo Tree Search as Regularized Policy Optimization
997,Liudmila Prokhorenkova,Yandex,Female,Aleksandr Shekhovtsov,"Yandex, Higher School of Economics",Male,Graph-based Nearest Neighbor Search: From Practice to Theory
998,Paul Rolland,Ecole Polytechnique Fédérale de Lausanne,Male,Volkan Cevher,EPFL,Male,Double-Loop Unadjusted Langevin Algorithm
999,Marco Cuturi,Google,Male,JP Vert,Google,Male,Supervised Quantile Normalization for Low Rank Matrix Factorization
1000,Sheng Shen,"University of California, Berkeley",Male,Kurt Keutzer,UC Berkeley,Male,PowerNorm: Rethinking Batch Normalization in Transformers
1001,Tuan-Binh Nguyen,INRIA Saclay Ile-de-France,Male,Sylvain Arlot,University Paris Sud,Male,Aggregation of Multiple Knockoffs
1002,Sarthak  Mittal,Uber ATG,Male,Yoshua Bengio,Montreal Institute for Learning Algorithms,Male,Learning to Combine Top-Down and Bottom-Up Signals in Recurrent Neural Networks with Attention over Modules
1003,Johannes Fischer,Karlsruhe Institute of Technology (KIT),Male,Sahin Tas,FZI Research Center for Information Technology,Male,Information Particle Filter Tree: An Online Algorithm for POMDPs with Belief-Based Rewards on Continuous Domains
1004,Nir Rosenfeld,Harvard University,Male,Yaron Singer,Harvard,Male,Predicting Choice with Set-Dependent Aggregation
1005,Filippo Maria Bianchi,NORCE the Norwegian Research Centre,Male,Cesare Alippi,Università della Svizzera Italiana,Male,Spectral Clustering with Graph Neural Networks for Graph Pooling
1006,Viktor Bengs,University of Paderborn,Male,Eyke Hüllermeier,Paderborn University,Male,Preselection Bandits
1007,Joris Bierkens,Technische Universiteit Delft,Male,Gareth Roberts,University of Warwick,Male,The Boomerang Sampler
1008,Dan  Fisher,Technion,Male,Shie Mannor,Technion,Male, Topic Modeling via Full Dependence Mixtures
1009,Gregor Simm,University of Cambridge,Male,Jose Miguel Hernandez-Lobato,University of Cambridge,Male,A Generative Model for Molecular Distance Geometry
1010,Erik Bodin,University of Bristol,Male,Carl Henrik Ek,University of Cambridge,Male,Modulating Surrogates for Bayesian Optimization
1011,Ferdinando Cicalese,University of Verona,Male,Marco Molinaro,PUC-RIO,Male,Teaching with Limited Information on the Learner's Behaviour
1012,Kevin Wenliang,"Gatsby Unit, University College London",Male,Maneesh Sahani,"Gatsby Unit, UCL",Male,Amortised Learning by Wake-Sleep
1013,Filip Hanzely,KAUST,Male,Peter Richtarik,KAUST,Male,Stochastic Subspace Cubic Newton Method
1014,Daniel Greenfeld,Technion,Male,Uri Shalit,Technion,Male,Robust Learning with the Hilbert-Schmidt Independence Criterion
1015,David Salinas,NAVER LABS Europe,Male,Valerio Perrone,Amazon,Male,A quantile-based approach for hyperparameter transfer learning
1016,Pankaj Gupta,Siemens AG,Male,Hinrich Schuetze,University of Munich (LMU),Male,Neural Topic Modeling with Continual Lifelong Learning
1017,Christoph Zimmer,Bosch Center for Artificial Intelligence BCAI,Male,Reza Yaesoubi,"Health Policy and Management, Yale School of Public Health",Male,Influenza Forecasting Framework based on Gaussian Processes
1018,Chengyu Dong,UCSD,Male,Jingbo Shang,"University of California, San Diego",Male,Towards Adaptive Residual Network Training: A Neural-ODE Perspective
1019,Fabian Latorre,EPFL,Male,Volkan Cevher,EPFL,Male,Efficient Proximal Mapping of the 1-path-norm of Shallow Networks
1020,Christoph Hofer,University of Salzburg,Male,Roland Kwitt,"""University of Salzburg, Austria""",Male,Graph Filtration Learning
1021,Fabian Hinder,"CITEC, Bielefeld University",Male,CITEC Barbara Hammer,"CITEC, Bielefeld University",Female,Towards non-parametric drift detection via Dynamic Adapting Window Independence Drift Detection (DAWIDD)
1022,Petrus Mikkola,Aalto University,Male,Samuel Kaski,Aalto University and University of Manchester,Male,Projective Preferential Bayesian Optimization
1023,Jiri Fajtl,Kingston University London,Male,Paolo Remagnino,Kingston University,Male,Latent Bernoulli Autoencoder
1024,Dexiong Chen,Inria,Male,Julien Mairal,Inria,Male,Convolutional Kernel Networks for Graph-Structured Data
1025,Vincent Cohen-Addad,CNRS & Sorbonne Université,Male,Guillaume Lagarde,LaBRI,Male,On Efficient Low Distortion Ultrametric Embedding
1026,Ayoub Belhadji,Ecole Centrale de Lille,Male,Pierre Chainais,Centrale Lille / CRIStAL CNRS UMR 9189,Male,Kernel interpolation with continuous volume sampling
1027,Jean-Yves Franceschi,Sorbonne Université,Male,Patrick Gallinari,"Sorbonne Universite, Criteo AI Lab",Male,Stochastic Latent Residual Video Prediction
1028,Pengsheng Guo,Apple,Male,Daniel Ulbricht,Apple,Male,Learning to Branch for Multi-Task Learning
1029,Adam Breuer,Harvard University,Male,Yaron Singer,Harvard,Male,The FAST Algorithm for Submodular Maximization
1030,Martin Jørgensen,Technical University of Denmark,Male,Hugh Salimbeni,Imperial College London,Male,Stochastic Differential Equations with Variational Wishart Diffusions
1031,Yaodong Yang,Huawei UK,Male,Weinan Zhang,Shanghai Jiao Tong University,Male,Multi-Agent Determinantal Q-Learning
1032,François-Pierre Paty,ENSAE Paris,Male,Marco Cuturi,Google,Male,Regularized Optimal Transport is Ground Cost Adversarial
1033,Omri Azencot,UCLA,Male,Michael Mahoney,UC Berkeley,Male,Forecasting Sequential Data Using Consistent Koopman Autoencoders
1034,Lior Shani,Technion,Male,Shie Mannor,Technion,Male,Optimistic Policy Optimization with Bandit Feedback
1035,Alex Chan,University of Cambridge,Male,Mihaela van der Schaar,University of Cambridge and UCLA,Female,Unlabelled Data Improves Bayesian Uncertainty Calibration under Covariate Shift  
1036,Claire Vernade,DeepMind,Female,Michael Brueckner,Amazon Research Berlin,Male,Linear bandits with Stochastic Delayed Feedback
1037,Elliott Gordon-Rodriguez,Columbia University,Male,John Cunningham,Columbia,Male,The continuous categorical: a novel simplex-valued exponential family
1038,Xiangming Meng,Riken,Male,Emti Khan,RIKEN,Male,Training Binary Neural Networks using the Bayesian Learning Rule
1039,Mark Kurtz,Neural Magic,Male,Dan Alistarh,IST Austria & NeuralMagic,Male,Inducing and Exploiting Activation Sparsity for Fast Inference on Deep Neural Networks
1040,Dimitris Kalatzis,Technical University of Denmark,Male,Søren Hauberg,Technical University of Denmark,Male,Variational Autoencoders with Riemannian Brownian Motion Priors
1041,Abhishek Das,Facebook AI Research,Male,Feilx Hill,Deepmind,Male,Probing Emergent Semantics in Predictive Agents via Question Answering
1042,Gregor Simm,University of Cambridge,Male,Jose Miguel Hernandez-Lobato,University of Cambridge,Male,Reinforcement Learning for Molecular Design Guided by Quantum Mechanics
1043,Jan Graßhoff,Universität zu Lübeck,Male,Philipp Rostalski,Universität zu Lübeck,Male,Scalable Gaussian Process Separation for Kernels with a Non-Stationary Phase
1044,James Wilson,Imperial College London,Male,Marc Deisenroth,University College London,Male,Efficiently sampling functions from Gaussian process posteriors
1045,Tao Lin,EPFL,Male,Martin Jaggi,EPFL,Male,Extrapolation for Large-batch Training in Deep Learning
1046,Vien Van Mai,KTH Royal Institute of Technology,Male,Mikael Johansson,KTH Royal Institute of Technology,Male,Anderson Acceleration of Proximal Gradient Methods
1047,Alina Ene,Boston University,Female,Huy Nguyen,Northeastern University,Male,Parallel Algorithm for Non-Monotone DR-Submodular Maximization
1048,Aytunc Sahin,ETH Zurich,Male,Andreas Krause,ETH Zurich,Male,From Sets to Multisets: Provable Variational  Inference for Probabilistic Integer Submodular Models
1049,Xiangyu Xu,Carnegie Mellon University,Male,Wenxiu Sun,SenseTime Research,Female,Learning Factorized Weight Matrix for Joint Filtering
1050,Robert Salomone,University of New South Wales,Male,Minh-Ngoc Tran,U of Sydney,Male,Spectral Subsampling MCMC for Stationary Time Series
1051,Ferjad Naeem,Technical University of Munich,Male,Jaejun Yoo,EPFL,Male,Reliable Fidelity and Diversity Metrics for Generative Models
1052,Zhen Wang,University of Sydney,Male,Dacheng Tao,The University of Sydney,Male,Deep Streaming Label Learning
1053,Rafael Pinot,Dauphine University - CEA LIST,Male,Jamal Atif,Université Paris-Dauphine,Male,Randomization matters How to defend against strong adversarial attacks
1054,Aounon Kumar,"University of Maryland, College Park",Male,Soheil Feizi,University of Maryland,Male,Curse of Dimensionality on Randomized Smoothing for Certifiable Robustness
1055,Simon Schmitt,DeepMind,Male,Karen Simonyan,DeepMind,Male,Off-Policy Actor-Critic with Shared Experience Replay
1056,Yuh-Shyang Wang,Argo AI,Male,Luca Daniel,MIT,Male,Neural Network Control Policy Verification With Persistent Adversarial Perturbation
1057,Marin Ballu,University of Cambridge,Male,Francis Bach,INRIA - Ecole Normale Supérieure,Male,Stochastic Optimization for Regularized Wasserstein Estimators
1058,Akshay Kamath,University of Texas at Austin,Male,Sushrut Karmalkar,University of Texas at Austin,Male,On the Power of Compressed Sensing with Generative Models 
1059,Ying Huang,"Guangzhou Huya Technology Co., Ltd.",Male,Jinzhuo Wang,University of Oxford,Male,More Information Supervised Probabilistic Deep Face Embedding Learning
1060,Yuanyu Wan,Nanjing University,Male,Lijun Zhang,Nanjing University,Male,Projection-free Distributed Online Convex Optimization with $O(\sqrt{T})$ Communication Complexity
1061,Jang-Hyun Kim,Seoul National University,Male,Hyun Oh Song,Seoul National University,Male,Puzzle Mix: Exploiting Saliency and Local Statistics for Optimal Mixup
1062,Chengchun Shi,London School of Economics and Political Science,Male,Ling Leng,Amazon,Male,Does the Markov Decision Process Fit the Data: Testing for the Markov Property in Sequential Decision Making
1063,Zhaoqiang Liu,NUS,Male,Jonathan Scarlett,National University of Singapore,Male,Sample Complexity Bounds for 1-bit Compressive Sensing and Binary Stable Embeddings with Generative Priors
1064,Kefan Dong,Tsinghua University,Male,Yuan Zhou,UIUC,Male,Multinomial Logit Bandit with Low Switching Cost
1065,Chong Min John Tan,National University of Singapore,Male,Mehul Motani,NUS,Male,DropNet: Reducing Neural Network Complexity via Iterative Pruning
1066,Yonggang Zhang,University of Science and Technology of China,Male,Xinmei Tian,USTC,Male,Dual-Path Distillation: A Unified Framework to Improve Black-Box Attacks
1067,Naoto Ohsaka,NEC Corporation,Male,Tatsuya Matsuoka,NEC Corporation,Male,On the (In)tractability of Computing Normalizing Constants for the Product of Determinantal Point Processes
1068,Takashi Ishida,The University of Tokyo / RIKEN,Male,Masashi Sugiyama,RIKEN / The University of Tokyo,Male,Do We Need Zero Training Loss After Achieving Zero Training Error?
1069,Jianshu Zhang,University of Science and Technology of China,Male,Lirong Dai,N/A,Male,A Tree-Structured Decoder for Image-to-Markup Generation
1070,Simiao Zuo,Georgia Institute of Technology,Male,Hongyuan Zha,Georgia Institute of Technology,Male,Transformer Hawkes Process
1071,Masatoshi Uehara,Harvard University,Male,Nan Jiang,University of Illinois at Urbana-Champaign,Male,Minimax Weight and Q-Function Learning for Off-Policy Evaluation
1072,Hung Le,Deakin University,Male,Svetha Venkatesh,Deakin University,Female,Self-Attentive Associative Memory
1073,Hongteng Xu,"InfiniaML, Inc.",Male,Lawrence Carin,Duke,Male,Learning Autoencoders with Relational Regularization
1074,Anoop Cherian,MERL,Male,Shuchin Aeron,Tufts University,Male,Representation Learning via Adversarially-Contrastive Optimal Transport
1075,Chence Shi,Peking University,Male,Jian Tang,HEC Montreal & MILA,Male,A Graph to Graphs Framework for Retrosynthesis Prediction
1076,Tian-Zuo Wang,Nanjing University,Male,Zhi-Hua Zhou,Nanjing University,Male,Cost-effectively Identifying Causal Effects When Only Response Variable is Observable
1077,Liang Bai,"Shanxi University, China",Male,Jiye Liang,Shanxi University,Male,Sparse Subspace Clustering with Entropy-Norm
1078,Jungo Kasai,University of Washington,Male,Jiatao Gu,Facebook AI Research,Male,Non-autoregressive Machine Translation with Disentangled Context Transformer
1079,Shinya Suzuki,Nagoya Institute of Technology,Male,Masayuki Karasuyama,Nagoya Institute of Technology,Male,Multi-objective Bayesian Optimization using Pareto-frontier Entropy
1080,Xuxi Chen,University of Science and Technology of China,Male,Zhangyang Wang,University of Texas at Austin,Male,Self-PU: Self Boosted and Calibrated Positive-Unlabeled Training
1081,Takeshi Teshima,The University of Tokyo / RIKEN,Male,Masashi Sugiyama,RIKEN / The University of Tokyo,Male,Few-shot Domain Adaptation by Causal Mechanism Transfer
1082,Ruibin Xiong,"Institute of Computing Technology, Chinese Academy of Sciences",Male,Tie-Yan Liu,Microsoft Research Asia,Male,On Layer Normalization in the Transformer Architecture
1083,Rundong Wang,Nanyang Technological University,Male,Zinovi Rabinovich,Nanyang Technological University,Male,Learning Efficient Multi-agent Communication: An Information Bottleneck Approach
